group_id	structure	center_size	coset_count	is_ac	adjacency
SmallGroup(128,1027)	(C4 x C4) : Q8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1028)	(C4 x C2) : (C4 : C4)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1029)	(C4 x C2) : ((C4 x C2) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1030)	((C4 x C4) : C2) : C4	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1031)	C4 x ((C2 x C2 x C2 x C2) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1032)	C4 x ((C4 x C2 x C2) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1033)	C4 x ((C4 x C2 x C2) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1034)	C4 x ((C2 x Q8) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1035)	C4 x ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1036)	C4 x ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1037)	C4 x ((C2 x C2) . (C2 x C2 x C2))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1038)	C4 x ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1039)	C4 x (C4 : Q8)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1040)	(C2 x C2 x C2) : ((C4 x C2) : C2)	8	16	false	;3,4,5,7,9,10,11,12,13,14,15,16;2,4,7,8,9,11,12,14;2,3,6,8,9,10,11,12,13,14,15,16;2,8,9,10,11,13,15,16;4,7,10,12,13,14,15,16;2,3,6,8,9,10,11,12,13,14,15,16;3,4,5,7,9,10,11,12,13,14,15,16;2,3,4,5,7,8,10,12,13,14,15,16;2,4,5,6,7,8,9,11,12,14,15,16;2,3,4,5,7,8,10,12,13,14,15,16;2,3,4,6,7,8,9,10,11,13,15,16;2,4,5,6,7,8,9,11,12,14,15,16;2,3,4,6,7,8,9,10,11,13,15,16;2,4,5,6,7,8,9,10,11,12,13,14;2,4,5,6,7,8,9,10,11,12,13,14
