# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=16
q_order	q_id	structure	cover_order	exterior_order	all_exterior_subgroups	normal_kernel_count	kernel_serial	kernel_order	kernel_index	adjacency
16	5	C8 x C2	32	2	2	2	1	1	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	5	C8 x C2	32	2	2	2	2	2	1	;;;;;;;;;;;;;;;
16	6	C8 : C2	16	2	2	2	1	1	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	6	C8 : C2	16	2	2	2	2	2	1	;;;;;;;;;;;;;;;
16	7	D16	32	8	4	4	1	1	8	;3,4,5,6,7,8,9,10,11,12,13,14,15,16;2,4,5,6,7,8,9,10,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,5,6,8,9,10,11,12,13,14,15,16;2,3,4,5,6,7,9,10,11,12,13,14,15,16;2,3,4,5,6,7,8,10,11,12,13,14,15,16;2,3,4,5,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,5,6,7,8,9,10,11,12,13,15,16;2,3,4,5,6,7,8,9,10,11,12,13,14,16;2,3,7,8,9,10,14,15
16	7	D16	32	8	4	4	2	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,7,8,9,10,14,15
16	7	D16	32	8	4	4	3	4	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	7	D16	32	8	4	4	4	8	1	;;;;;;;;;;;;;;;
16	8	QD16	16	4	3	3	1	1	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,7,8,9,10,14,15
16	8	QD16	16	4	3	3	2	2	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	8	QD16	16	4	3	3	3	4	1	;;;;;;;;;;;;;;;
16	9	Q16	16	4	3	3	1	1	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,7,8,9,10,14,15
16	9	Q16	16	4	3	3	2	2	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	9	Q16	16	4	3	3	3	4	1	;;;;;;;;;;;;;;;
16	10	C4 x C2 x C2	128	8	16	16	1	1	8	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;2,3,4,6,7,8,9,10,11,13,14,15;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15
16	10	C4 x C2 x C2	128	8	16	16	2	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;2,6,7,8,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15
16	10	C4 x C2 x C2	128	8	16	16	3	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;;2,3,4,8,10,11,12,16;2,3,4,8,10,11,12,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,8,10,11,12,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;2,3,4,6,7,8,9,10,11,13,14,15;2,3,4,8,10,11,12,16;2,3,4,8,10,11,12,16;2,3,4,8,10,11,12,16;2,3,4,6,7,8,9,10,11,13,14,15
16	10	C4 x C2 x C2	128	8	16	16	4	2	4	;3,4,6,7,10,11,13,14;2,4,6,7,8,9,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,10,11,13,14;3,4,6,7,10,11,13,14;2,4,6,7,8,9,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;3,4,6,7,10,11,13,14;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,10,11,13,14;3,4,6,7,10,11,13,14
16	10	C4 x C2 x C2	128	8	16	16	5	2	4	;3,6,9,10,12,13,15,16;2,4,6,7,8,9,11,12,13,14,15,16;3,6,9,10,12,13,15,16;;2,3,4,7,8,9,10,11,12,14,15,16;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;3,6,9,10,12,13,15,16;2,3,4,6,7,8,9,10,11,13,14,15;2,3,4,7,8,9,10,11,12,14,15,16;3,6,9,10,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15
16	10	C4 x C2 x C2	128	8	16	16	6	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,7,8,9,10,14,15
16	10	C4 x C2 x C2	128	8	16	16	7	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,8,9,11,13,15;2,3,6,7,8,9,10,12,13,14,15,16;;2,3,4,7,8,9,10,11,12,14,15,16;2,4,6,8,9,11,13,15;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,8,9,11,13,15;2,3,6,7,8,9,10,12,13,14,15,16;2,4,6,8,9,11,13,15;2,3,4,7,8,9,10,11,12,14,15,16;2,4,6,8,9,11,13,15;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,8,9,11,13,15
16	10	C4 x C2 x C2	128	8	16	16	8	2	4	;4,7,9,11,12,14,15,16;4,7,9,11,12,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;;4,7,9,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;4,7,9,11,12,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;4,7,9,11,12,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;2,3,4,6,7,8,9,10,11,13,14,15;4,7,9,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15
16	10	C4 x C2 x C2	128	8	16	16	9	4	2	;3,6,9,10,12,13,15,16;2,4,6,8,9,11,13,15;3,6,9,10,12,13,15,16;;2,3,4,8,10,11,12,16;;3,6,9,10,12,13,15,16;2,3,4,8,10,11,12,16;2,4,6,8,9,11,13,15;3,6,9,10,12,13,15,16;2,4,6,8,9,11,13,15;2,3,4,8,10,11,12,16;;2,3,4,8,10,11,12,16;2,4,6,8,9,11,13,15
16	10	C4 x C2 x C2	128	8	16	16	10	4	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	10	C4 x C2 x C2	128	8	16	16	11	4	2	;;4,7,9,11,12,14,15,16;3,6,9,10,12,13,15,16;;4,7,9,11,12,14,15,16;3,6,9,10,12,13,15,16;;3,4,6,7,10,11,13,14;4,7,9,11,12,14,15,16;3,6,9,10,12,13,15,16;3,4,6,7,10,11,13,14;4,7,9,11,12,14,15,16;3,6,9,10,12,13,15,16;3,4,6,7,10,11,13,14;3,4,6,7,10,11,13,14
16	10	C4 x C2 x C2	128	8	16	16	12	4	2	;3,4,6,7,10,11,13,14;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,4,8,10,11,12,16;2,3,4,8,10,11,12,16;3,4,6,7,10,11,13,14;;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;3,4,6,7,10,11,13,14;2,3,4,8,10,11,12,16;2,3,4,8,10,11,12,16;;3,4,6,7,10,11,13,14
